Designator,Footprint,Quantity,Value,LCSC Part #
C2,0805,1,0.22uF,
"C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47",0603,28,0.47uF,
"C3, C9",0603,2,0.1uF,
C4,0603,1,10nF,
"C48, C49, C50, C51, C52, C53",0603,6,220pF,
"C5, C8",0805,2,1uF,
"C57, C58, C59, C60, C61, C62, C63, C64",0603,8,1uF,
C6,0805,1,4.7uF,
C7,0805,1,2.2uF,
"F10, F11, F12, F13, F14, F15, F16, F17, F18, F3, F4, F5, F6, F7, F8, F9",0805,16,0.5A resetable,
"J1, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30",SolderWirePad_1x01_SMD_2x4mm,16,Conn_01x01_Socket,
J10,SolderWirePad_1x01_SMD_5x10mm,1,Batt 7,
J11,SolderWirePad_1x01_SMD_5x10mm,1,Batt 6,
J12,SolderWirePad_1x01_SMD_5x10mm,1,Batt 2,
J13,SolderWirePad_1x01_SMD_5x10mm,1,Batt 5,
J14,SolderWirePad_1x01_SMD_5x10mm,1,Batt 1,
J15,SolderWirePad_1x01_SMD_5x10mm,1,Batt 0,
J2,SolderWirePad_1x01_SMD_5x10mm,1,Batt 13,
J3,SolderWirePad_1x01_SMD_5x10mm,1,Batt 12,
"J33, J34",DSUB-9_Pins_Vertical_P2.77x2.84mm_MountingHoles,2,Dsub 9,
J4,SolderWirePad_1x01_SMD_5x10mm,1,Batt 11,
J5,SolderWirePad_1x01_SMD_5x10mm,1,Batt 10,
J6,SolderWirePad_1x01_SMD_5x10mm,1,Batt 9,
J7,SolderWirePad_1x01_SMD_5x10mm,1,Batt 8,
J8,SolderWirePad_1x01_SMD_5x10mm,1,Batt 4,
J9,SolderWirePad_1x01_SMD_5x10mm,1,Batt 3,
Q8,SOT-223-3_TabPin2,1,FZT653TA,
R2,0603,1,300,
"R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R48",0603,14,100,
"R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R49",2512,14,10R LR12FTDRR002,
R4,0603,1,30,
R5,0603,1,0R,
"R58, R59, R61, R63, R65, R67, R69, R71, R73, R77",0603,10,1k,
"R60, R62, R64, R66, R68, R70, R72, R74",0603,8,10k,
"R75, R76, R78, R79",0603,4,49,
"T2, T3",IC6_SM91502ALA-E_BRN,2,TM0608SR,
U1,Texas_TQFP-64-1EP_10x10mm_P0.5mm_EP8x8mm_Mask4.44x4.44mm_ThermalVias,1,BQ79614PAPRQ1,
