Designator,Mid X,Mid Y,Rotation,Layer
C2,127.255,-73.825,0.0,top
C20,144.445,-110.355,0.0,top
C21,144.445,-112.865,0.0,top
C22,129.725,-100.495,0.0,top
C23,129.725,-103.005,0.0,top
C24,129.725,-110.355,0.0,top
C25,129.725,-112.865,0.0,top
C26,161.175,-80.305,0.0,top
C27,161.175,-82.815,0.0,top
C28,175.895,-80.305,0.0,top
C29,175.895,-82.815,0.0,top
C3,115.005,-73.575,0.0,top
C30,159.165,-90.635,0.0,top
C31,159.165,-93.145,0.0,top
C32,173.885,-90.635,0.0,top
C33,173.885,-93.145,0.0,top
C34,115.005,-110.355,0.0,top
C35,115.005,-112.865,0.0,top
C36,115.005,-90.635,0.0,top
C37,115.005,-93.145,0.0,top
C38,159.165,-100.495,0.0,top
C39,159.165,-103.005,0.0,top
C4,146.105,-81.895,0.0,top
C40,144.445,-100.495,0.0,top
C41,144.445,-103.005,0.0,top
C42,115.005,-100.495,0.0,top
C43,115.005,-103.005,0.0,top
C44,144.445,-90.635,0.0,top
C45,144.445,-93.145,0.0,top
C46,129.725,-90.635,0.0,top
C47,129.725,-93.145,0.0,top
C48,115.005,-78.595,0.0,top
C49,115.005,-81.105,0.0,top
C5,127.255,-76.835,0.0,top
C50,115.005,-83.615,0.0,top
C51,115.005,-86.125,0.0,top
C52,119.015,-73.575,0.0,top
C53,119.015,-76.085,0.0,top
C57,159.335,-110.355,0.0,top
C58,159.335,-119.885,0.0,top
C59,174.055,-110.025,0.0,top
C6,127.255,-79.845,0.0,top
C60,174.055,-119.555,0.0,top
C61,174.055,-100.495,0.0,top
C62,115.175,-120.215,0.0,top
C63,129.895,-120.215,0.0,top
C64,144.615,-120.215,0.0,top
C7,127.255,-82.855,0.0,top
C8,127.255,-85.865,0.0,top
C9,115.005,-76.085,0.0,top
F10,178.095,-95.765,0.0,top
F11,119.215,-115.485,0.0,top
F12,119.215,-95.765,0.0,top
F13,163.375,-105.625,0.0,top
F14,148.655,-105.625,0.0,top
F15,119.215,-105.625,0.0,top
F16,148.655,-95.765,0.0,top
F17,133.935,-95.765,0.0,top
F18,194.375,-46.675,0.0,top
F3,148.655,-115.485,0.0,top
F4,133.935,-105.625,0.0,top
F5,133.935,-115.485,0.0,top
F6,165.385,-85.435,0.0,top
F7,180.105,-85.435,0.0,top
F8,163.375,-95.765,0.0,top
F9,194.375,-43.725,0.0,top
J1,163.285,-111.875,0.0,top
J10,182.27,-59.65,0.0,top
J11,188.87,-59.65,0.0,top
J12,162.47,-71.25,0.0,top
J13,169.07,-71.25,0.0,top
J14,175.67,-71.25,0.0,top
J15,182.27,-71.25,0.0,top
J16,166.835,-111.875,0.0,top
J17,163.285,-121.405,0.0,top
J18,166.835,-121.405,0.0,top
J19,178.005,-111.545,0.0,top
J2,162.47,-48.05,0.0,top
J20,181.555,-111.545,0.0,top
J21,178.005,-121.075,0.0,top
J22,181.555,-121.075,0.0,top
J23,178.005,-102.015,0.0,top
J24,181.555,-102.015,0.0,top
J25,119.125,-121.735,0.0,top
J26,122.675,-121.735,0.0,top
J27,133.845,-121.735,0.0,top
J28,137.395,-121.735,0.0,top
J29,148.565,-121.735,0.0,top
J3,169.07,-48.05,0.0,top
J30,152.115,-121.735,0.0,top
J33,129.455,-50.014338,0.0,top
J34,129.455,-65.053676,0.0,top
J4,175.67,-48.05,0.0,top
J5,182.27,-48.05,0.0,top
J6,188.87,-48.05,0.0,top
J7,162.47,-59.65,0.0,top
J8,169.07,-59.65,0.0,top
J9,175.67,-59.65,0.0,top
Q8,148.855,-76.52,180.0,top
R2,119.015,-78.595,0.0,top
R22,144.445,-115.375,0.0,top
R23,129.725,-105.515,0.0,top
R24,129.725,-115.375,0.0,top
R25,161.175,-85.325,0.0,top
R26,175.895,-85.325,0.0,top
R27,159.165,-95.655,0.0,top
R28,173.885,-95.655,0.0,top
R29,115.005,-115.375,0.0,top
R30,115.005,-95.655,0.0,top
R31,159.165,-105.515,0.0,top
R32,144.445,-105.515,0.0,top
R33,115.005,-105.515,0.0,top
R34,144.445,-95.655,0.0,top
R35,150.805,-111.555,0.0,top
R36,136.085,-101.695,0.0,top
R37,136.085,-111.555,0.0,top
R38,167.535,-81.505,0.0,top
R39,182.255,-81.505,0.0,top
R4,119.015,-81.105,0.0,top
R40,165.525,-91.835,0.0,top
R41,180.245,-91.835,0.0,top
R42,121.365,-111.555,0.0,top
R43,121.365,-91.835,0.0,top
R44,165.525,-101.695,0.0,top
R45,150.805,-101.695,0.0,top
R46,121.365,-101.695,0.0,top
R47,150.805,-91.835,0.0,top
R48,129.725,-95.655,0.0,top
R49,136.085,-91.835,0.0,top
R5,119.015,-83.615,0.0,top
R58,119.015,-86.125,0.0,top
R59,159.335,-112.865,0.0,top
R60,159.335,-115.375,0.0,top
R61,159.335,-122.395,0.0,top
R62,159.335,-124.905,0.0,top
R63,174.055,-112.535,0.0,top
R64,174.055,-115.045,0.0,top
R65,174.055,-122.065,0.0,top
R66,174.055,-124.575,0.0,top
R67,174.055,-103.005,0.0,top
R68,174.055,-105.515,0.0,top
R69,115.175,-122.725,0.0,top
R70,115.175,-125.235,0.0,top
R71,129.895,-122.725,0.0,top
R72,129.895,-125.235,0.0,top
R73,144.615,-122.725,0.0,top
R74,144.615,-125.235,0.0,top
R75,123.025,-73.575,0.0,top
R76,123.025,-76.085,0.0,top
R77,123.025,-78.595,0.0,top
R78,123.025,-81.105,0.0,top
R79,123.025,-83.615,0.0,top
T2,151.5408,-47.7792,0.0,top
T3,151.5408,-58.8376,0.0,top
U1,136.705,-79.545,0.0,top
